Sr. No,Subject,Body,Timestamp,Communication Channel,sentiment
335,Check-In Reminder,Here’s the link to the shared drive for the project files.,2025-02-02 06:03:12,Microsoft Teams,neutral
336,Workload Management Issues,"I’m juggling a few things at the moment, so I might need some extra time.",2025-02-06 06:28:12,Slack,negative
337,Great Job!,Excellent progress. Let’s push through the final stretch!,2025-01-10 12:28:12,Slack,positive
338,Project Update,Let’s touch base later today to go over the next steps.,2025-02-08 00:31:12,Email,negative
339,Urgent: Need Assistance,I’m not sure if this is the best use of our time.,2025-01-22 11:26:12,Slack,positive
340,Appreciation for Your Efforts,Well done! Great teamwork,2025-02-05 11:30:12,Microsoft Teams,positive
341,Quick Sync Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-13 17:04:12,Microsoft Teams,negative
342,Concerns About Progress,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-10 02:14:12,Microsoft Teams,negative
343,Well Done!,Thanks for your hard work on this project!,2025-01-17 11:18:12,Email,negative
344,General Inquiry,I’m feeling a bit unsure about this approach. What do you think?,2025-01-24 05:54:12,Email,neutral
345,Struggling with Deadlines,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-13 14:13:12,Microsoft Teams,positive
346,Fantastic Progress,Well done! Great teamwork,2025-01-21 11:59:12,Microsoft Teams,positive
347,Meeting Rescheduled,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-23 04:40:12,Microsoft Teams,negative
348,Feeling Overwhelmed,I’m worried I won’t meet my deadlines,2025-02-08 06:11:12,Slack,neutral
349,Teamwork Pays Off,Thanks for your hard work on this project!,2025-01-10 02:58:12,Email,negative
350,Follow-Up Required,Here’s the link to the shared drive for the project files.,2025-02-07 10:56:12,Email,neutral
351,Need Clarity on Expectations,I’m swamped with deadlines this week,2025-01-26 22:50:12,Email,neutral
352,Outstanding Work!,Thanks for your hard work on this project!,2025-01-31 08:12:12,Email,negative
353,Next Steps Discussion,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-13 01:30:12,Microsoft Teams,neutral
354,Blocked on a Task,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-28 14:40:12,Microsoft Teams,positive
355,Keep Up the Good Work!,Thanks for your hard work on this project!,2025-02-07 18:41:12,Slack,negative
356,Clarification Needed,Can we sync up to discuss our progress on the project?,2025-01-13 10:55:12,Email,neutral
357,Facing Challenges,"I’ll try to make this work, but it’s not ideal.",2025-01-14 05:55:12,Slack,negative
358,Excellent Execution!,Thanks for your hard work on this project!,2025-01-21 10:23:12,Email,negative
359,Check-In Reminder,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-30 01:31:12,Microsoft Teams,neutral
360,Workload Management Issues,There’s not enough progress so far. We need to step it up.,2025-01-10 01:11:12,Email,positive
361,Great Job!,Well done! Great teamwork,2025-01-30 17:18:12,Slack,positive
362,Project Update,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-10 03:58:12,Microsoft Teams,negative
363,Urgent: Need Assistance,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-11 09:08:12,Microsoft Teams,negative
364,Appreciation for Your Efforts,Excellent progress. Let’s push through the final stretch!,2025-01-30 07:42:12,Email,positive
365,Quick Sync Needed,Here’s the link to the shared drive for the project files.,2025-01-14 11:12:12,Email,neutral
366,Concerns About Progress,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-02-05 16:36:12,Slack,positive
367,Well Done!,Thanks for your hard work on this project!,2025-01-16 08:08:12,Microsoft Teams,negative
368,General Inquiry,Let’s touch base later today to go over the next steps.,2025-01-19 17:41:12,Microsoft Teams,negative
369,Struggling with Deadlines,I’m not sure if this is the best use of our time.,2025-01-30 02:01:12,Slack,positive
370,Fantastic Progress,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-13 19:10:12,Slack,positive
371,Meeting Rescheduled,Can we sync up to discuss our progress on the project?,2025-01-15 16:45:12,Slack,neutral
372,Feeling Overwhelmed,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-12 12:25:12,Slack,positive
373,Teamwork Pays Off,"Let’s keep it up, it looks good.",2025-02-04 18:12:12,Email,positive
374,Follow-Up Required,I’m feeling a bit unsure about this approach. What do you think?,2025-01-26 03:36:12,Slack,neutral
375,Need Clarity on Expectations,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-02-02 23:26:12,Microsoft Teams,positive
376,Outstanding Work!,Let’s keep the momentum going!,2025-01-29 02:46:12,Slack,neutral
377,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-01-12 09:28:12,Microsoft Teams,neutral
378,Blocked on a Task,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-12 05:27:12,Slack,positive
379,Keep Up the Good Work!,Thanks for your hard work on this project—it really paid off!,2025-01-23 23:45:12,Slack,positive
380,Clarification Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-28 18:19:12,Email,negative
381,Facing Challenges,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-02-02 06:35:12,Slack,positive
382,Excellent Execution!,Let’s keep the momentum going!,2025-02-02 03:52:12,Microsoft Teams,neutral
383,Check-In Reminder,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-23 13:26:12,Slack,negative
384,Workload Management Issues,There’s not enough progress so far. We need to step it up.,2025-01-17 20:34:12,Slack,positive
385,Great Job!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-22 19:39:12,Slack,positive
386,Project Update,Can we sync up to discuss our progress on the project?,2025-01-19 14:49:12,Slack,neutral
387,Urgent: Need Assistance,I’m struggling with a lack of clarity around the expectations for my role,2025-01-18 19:27:12,Email,neutral
388,Appreciation for Your Efforts,Thanks for your hard work on this project—it really paid off!,2025-02-08 14:23:12,Slack,positive
389,Quick Sync Needed,Can you forward me the CEO’s email please?,2025-01-19 08:13:12,Slack,neutral
390,Concerns About Progress,I’m struggling with a lack of clarity around the expectations for my role,2025-01-16 02:55:12,Microsoft Teams,neutral
391,Well Done!,"Let’s keep it up, it looks good.",2025-02-08 09:37:12,Email,positive
392,General Inquiry,Here’s the link to the shared drive for the project files.,2025-01-13 09:06:12,Email,neutral
393,Struggling with Deadlines,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-25 21:50:12,Microsoft Teams,positive
394,Fantastic Progress,Let’s keep the momentum going!,2025-01-15 19:07:12,Email,neutral
395,Meeting Rescheduled,Let’s touch base later today to go over the next steps.,2025-01-30 14:21:12,Microsoft Teams,negative
396,Feeling Overwhelmed,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-22 08:20:12,Slack,negative
397,Teamwork Pays Off,"Let’s keep it up, it looks good.",2025-01-16 13:44:12,Slack,positive
398,Follow-Up Required,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-16 20:11:12,Slack,negative
399,Need Clarity on Expectations,This feels like it’s dragging on. Can we speed things up?,2025-01-18 08:49:12,Slack,neutral
400,Outstanding Work!,Let’s keep the momentum going!,2025-01-30 06:24:12,Email,neutral
401,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-02-08 05:37:12,Microsoft Teams,neutral
402,Blocked on a Task,I’m swamped with deadlines this week,2025-01-11 14:03:12,Slack,neutral
403,Keep Up the Good Work!,"Let’s keep it up, it looks good.",2025-01-25 07:23:12,Microsoft Teams,positive
404,Clarification Needed,Can you forward me the CEO’s email please?,2025-01-14 12:28:12,Slack,neutral
405,Facing Challenges,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-17 04:12:12,Slack,positive
406,Excellent Execution!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-12 11:54:12,Email,positive
407,Check-In Reminder,I’m feeling a bit unsure about this approach. What do you think?,2025-01-15 11:02:12,Slack,neutral
408,Workload Management Issues,There’s not enough progress so far. We need to step it up.,2025-01-18 00:12:12,Slack,positive
409,Great Job!,Thanks for your hard work on this project—it really paid off!,2025-02-07 09:49:12,Email,positive
410,Project Update,Can we sync up to discuss our progress on the project?,2025-01-21 01:36:12,Slack,neutral
411,Urgent: Need Assistance,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-27 19:30:12,Slack,negative
412,Appreciation for Your Efforts,Well done! Great teamwork,2025-01-26 03:35:12,Microsoft Teams,positive
413,Quick Sync Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-29 03:51:12,Slack,negative
414,Concerns About Progress,I’m struggling with a lack of clarity around the expectations for my role,2025-01-12 21:15:12,Slack,neutral
415,Well Done!,We’re on the right track—let’s keep pushing forward!,2025-01-29 03:58:12,Microsoft Teams,positive
416,General Inquiry,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-25 09:17:12,Email,negative
417,Struggling with Deadlines,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-14 04:03:12,Microsoft Teams,positive
418,Fantastic Progress,We’re on the right track—let’s keep pushing forward!,2025-01-25 17:11:12,Email,positive
419,Meeting Rescheduled,I’m feeling a bit unsure about this approach. What do you think?,2025-01-16 13:19:12,Microsoft Teams,neutral
420,Feeling Overwhelmed,I’m struggling with a lack of clarity around the expectations for my role,2025-02-05 09:00:12,Email,neutral
421,Teamwork Pays Off,"Let’s keep it up, it looks good.",2025-01-12 21:42:12,Microsoft Teams,positive
422,Follow-Up Required,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-31 20:00:12,Microsoft Teams,neutral
423,Need Clarity on Expectations,I’m swamped with deadlines this week,2025-01-24 11:27:12,Email,neutral
424,Outstanding Work!,Well done! Great teamwork,2025-01-22 10:31:12,Slack,positive
425,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-01-29 10:39:12,Microsoft Teams,neutral
426,Blocked on a Task,I’m not sure if this is the best use of our time.,2025-01-25 18:35:12,Email,positive
427,Keep Up the Good Work!,Thanks for your hard work on this project!,2025-01-12 13:38:12,Microsoft Teams,negative
428,Clarification Needed,Let’s touch base later today to go over the next steps.,2025-01-10 08:25:12,Slack,negative
429,Facing Challenges,"I’ll try to make this work, but it’s not ideal.",2025-01-21 02:20:12,Slack,negative
430,Excellent Execution!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-08 09:16:12,Slack,positive
431,Check-In Reminder,Can we sync up to discuss our progress on the project?,2025-01-13 08:05:12,Slack,neutral
432,Workload Management Issues,Can someone help me with this project? I’m having trouble with...,2025-01-19 01:08:12,Slack,negative
433,Great Job!,We’re on the right track—let’s keep pushing forward!,2025-01-20 03:16:12,Microsoft Teams,positive
434,Project Update,Let’s touch base later today to go over the next steps.,2025-01-27 14:36:12,Email,negative
435,Urgent: Need Assistance,"I’ll try to make this work, but it’s not ideal.",2025-02-05 09:11:12,Microsoft Teams,negative
436,Appreciation for Your Efforts,Excellent progress. Let’s push through the final stretch!,2025-02-06 04:20:12,Microsoft Teams,positive
437,Quick Sync Needed,Here’s the link to the shared drive for the project files.,2025-01-14 01:07:12,Slack,neutral
438,Concerns About Progress,This feels like it’s dragging on. Can we speed things up?,2025-01-24 03:57:12,Slack,neutral
439,Well Done!,Thanks for your hard work on this project!,2025-01-26 01:21:12,Email,negative
440,General Inquiry,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-27 10:35:12,Microsoft Teams,neutral
441,Struggling with Deadlines,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-14 08:09:12,Slack,positive
442,Fantastic Progress,"Let’s keep it up, it looks good.",2025-02-08 13:15:12,Microsoft Teams,positive
443,Meeting Rescheduled,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-02-02 10:43:12,Microsoft Teams,negative
444,Feeling Overwhelmed,I’m worried I won’t meet my deadlines,2025-01-11 19:26:12,Email,neutral
445,Teamwork Pays Off,We’re on the right track—let’s keep pushing forward!,2025-01-12 15:44:12,Microsoft Teams,positive
446,Follow-Up Required,Can you forward me the CEO’s email please?,2025-02-06 22:13:12,Email,neutral
447,Need Clarity on Expectations,"I suppose we can proceed, but I have some concerns.",2025-01-17 17:05:12,Email,neutral
448,Outstanding Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-01 15:06:12,Slack,positive
449,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-02-04 10:47:12,Email,neutral
450,Blocked on a Task,"I’ll try to make this work, but it’s not ideal.",2025-02-04 15:02:12,Slack,negative
451,Keep Up the Good Work!,Thanks for your hard work on this project—it really paid off!,2025-01-19 14:25:12,Slack,positive
452,Clarification Needed,I’m feeling a bit unsure about this approach. What do you think?,2025-01-30 11:18:12,Microsoft Teams,neutral
453,Facing Challenges,"If that’s what everyone thinks is best, I’ll go along with it.",2025-02-02 12:48:12,Email,positive
454,Excellent Execution!,Thanks for your hard work on this project!,2025-02-04 04:40:12,Microsoft Teams,negative
455,Check-In Reminder,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-06 02:29:12,Microsoft Teams,neutral
456,Workload Management Issues,"If that’s what everyone thinks is best, I’ll go along with it.",2025-02-05 04:44:12,Email,positive
457,Great Job!,Let’s keep the momentum going!,2025-01-18 16:25:12,Microsoft Teams,neutral
458,Project Update,Can we sync up to discuss our progress on the project?,2025-01-12 06:58:12,Email,neutral
459,Urgent: Need Assistance,This feels like it’s dragging on. Can we speed things up?,2025-02-05 11:43:12,Slack,neutral
460,Appreciation for Your Efforts,Let’s keep the momentum going!,2025-01-15 09:40:12,Email,neutral
461,Quick Sync Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-16 18:41:12,Microsoft Teams,neutral
462,Concerns About Progress,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-01-10 22:17:12,Email,positive
463,Well Done!,Thanks for your hard work on this project!,2025-01-29 22:35:12,Email,negative
464,General Inquiry,I’m feeling a bit unsure about this approach. What do you think?,2025-02-08 17:15:12,Slack,neutral
465,Struggling with Deadlines,"I suppose we can proceed, but I have some concerns.",2025-01-16 12:53:12,Email,neutral
466,Fantastic Progress,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-31 17:30:12,Microsoft Teams,positive
467,Meeting Rescheduled,Let’s touch base later today to go over the next steps.,2025-01-22 17:35:12,Microsoft Teams,negative
468,Feeling Overwhelmed,This feels like it’s dragging on. Can we speed things up?,2025-01-27 19:22:12,Email,neutral
469,Teamwork Pays Off,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-02 21:04:12,Slack,positive
470,Follow-Up Required,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-31 02:54:12,Microsoft Teams,negative
471,Need Clarity on Expectations,Can someone help me with this project? I’m having trouble with...,2025-02-08 00:29:12,Microsoft Teams,negative
472,Outstanding Work!,Well done! Great teamwork,2025-01-14 15:41:12,Microsoft Teams,positive
473,Next Steps Discussion,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-22 05:27:12,Slack,neutral
474,Blocked on a Task,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-31 23:50:12,Email,positive
475,Keep Up the Good Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-27 22:55:12,Slack,positive
476,Clarification Needed,Can we sync up to discuss our progress on the project?,2025-02-04 03:33:12,Microsoft Teams,neutral
477,Facing Challenges,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-26 09:04:12,Email,negative
478,Excellent Execution!,Excellent progress. Let’s push through the final stretch!,2025-02-06 10:50:12,Email,positive
479,Check-In Reminder,I’m feeling a bit unsure about this approach. What do you think?,2025-01-21 22:05:12,Microsoft Teams,neutral
480,Workload Management Issues,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-16 20:34:12,Microsoft Teams,positive
481,Great Job!,Let’s keep the momentum going!,2025-01-15 06:06:12,Email,neutral
482,Project Update,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-05 16:59:12,Email,neutral
483,Urgent: Need Assistance,I’m swamped with deadlines this week,2025-02-02 18:28:12,Microsoft Teams,neutral
484,Appreciation for Your Efforts,We’re on the right track—let’s keep pushing forward!,2025-02-06 21:58:12,Microsoft Teams,positive
485,Quick Sync Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-30 15:49:12,Email,negative
486,Concerns About Progress,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-17 23:13:12,Email,positive
487,Well Done!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-07 17:39:12,Slack,positive
488,General Inquiry,Can we sync up to discuss our progress on the project?,2025-01-25 01:30:12,Microsoft Teams,neutral
489,Struggling with Deadlines,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-17 17:15:12,Microsoft Teams,positive
490,Fantastic Progress,Well done! Great teamwork,2025-02-01 10:51:12,Email,positive
491,Meeting Rescheduled,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-31 00:25:12,Microsoft Teams,neutral
492,Feeling Overwhelmed,I’m not sure if this is the best use of our time.,2025-01-29 10:31:12,Microsoft Teams,positive
493,Teamwork Pays Off,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-11 14:44:12,Slack,positive
494,Follow-Up Required,Can we sync up to discuss our progress on the project?,2025-01-29 17:28:12,Microsoft Teams,neutral
495,Need Clarity on Expectations,I’m worried I won’t meet my deadlines,2025-02-06 02:38:12,Slack,neutral
496,Outstanding Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-26 23:21:12,Slack,positive
497,Next Steps Discussion,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-11 08:13:12,Microsoft Teams,negative
498,Blocked on a Task,Can someone help me with this project? I’m having trouble with...,2025-01-16 04:36:12,Microsoft Teams,negative
499,Keep Up the Good Work!,We’re on the right track—let’s keep pushing forward!,2025-01-21 18:22:12,Microsoft Teams,positive
500,Clarification Needed,Here’s the link to the shared drive for the project files.,2025-01-12 11:26:12,Email,neutral
